,timestamp,open,high,low,close,volume
0,2021-02-25,536.79,566.65,518.28,546.7,57837434
1,2021-01-29,539.0,593.2877,485.6701,532.39,139998993
2,2020-12-31,492.3404,545.5,491.29,540.73,77399169
3,2020-11-30,478.87,518.7337,463.41,490.7,91714605
4,2020-10-30,506.03,572.49,472.21,475.74,154319302
5,2020-09-30,532.6,557.3895,458.6,500.03,118814502
6,2020-08-31,490.86,549.04,466.55,529.56,116258856
7,2020-07-31,454.0,575.37,454.0,488.88,232102398
8,2020-06-30,418.83,474.01,404.25,455.04,117293703
9,2020-05-29,415.1,458.97,397.86,419.73,135055446
10,2020-04-30,376.05,449.52,357.51,419.85,225161942
11,2020-03-31,373.11,393.52,290.25,375.5,201974491
12,2020-02-28,347.24,392.95,346.28,369.03,114109315
13,2020-01-31,326.1,359.85,321.2,345.09,168074372
14,2019-12-31,314.39,338.0,292.02,323.57,125111575
15,2019-11-29,288.7,316.82,281.14,314.66,113765792
16,2019-10-31,267.35,308.75,257.01,287.41,234943732
17,2019-09-30,290.82,301.55,252.28,267.62,176233042
18,2019-08-30,324.25,328.58,287.1968,293.75,137336106
19,2019-07-31,373.5,384.76,305.81,322.99,196691550
20,2019-06-28,343.56,375.0,332.65,367.32,111051934
21,2019-05-31,374.0,385.99,341.39,343.28,125298454
22,2019-04-30,359.0,384.8,342.27,370.54,165087220
23,2019-03-29,362.26,379.0,342.47,356.56,144841905
24,2019-02-28,337.18,371.49,336.5,358.1,148192110
25,2019-01-31,259.28,358.85,256.58,339.5,306630336
26,2018-12-31,293.19,298.72,231.23,267.66,234304628
27,2018-11-30,304.59,332.0499,250.0,286.13,257126498
28,2018-10-31,375.85,386.7999,271.2093,301.78,363589920
29,2018-09-28,366.47,383.2,335.83,374.13,170832156
30,2018-08-31,335.87,376.8085,310.928,367.68,213144082
31,2018-07-31,385.45,419.77,328.0,337.45,305487432
32,2018-06-29,353.88,423.2056,352.82,391.43,244032001
33,2018-05-31,310.36,356.1,305.73,351.6,142051114
34,2018-04-30,291.94,338.82,271.2239,312.46,262064417
35,2018-03-29,292.75,333.98,275.9,295.35,260507993
36,2018-02-28,266.41,297.36,236.11,291.38,180222504
37,2018-01-31,196.1,286.81,195.42,270.3,226315174
38,2017-12-29,186.99,194.49,178.38,191.96,110711885
39,2017-11-30,197.24,202.48,184.32,187.58,110007825
40,2017-10-31,182.11,204.38,176.58,196.43,202226058
41,2017-09-29,175.55,189.95,172.44,181.35,109725318
42,2017-08-31,182.49,184.62,164.23,174.71,133570518
43,2017-07-31,149.8,191.5,144.25,181.66,176027440
44,2017-06-30,163.52,166.87,147.3,149.41,134019677
45,2017-05-31,151.91,164.75,151.61,163.07,114553205
46,2017-04-28,146.7,153.52,138.66,152.2,149459734
47,2017-03-31,142.84,148.29,138.26,147.81,106572265
48,2017-02-28,141.2,145.95,139.05,142.13,87621026
49,2017-01-31,124.96,143.46,124.31,140.71,182188811
50,2016-12-30,117.52,129.07,113.95,123.8,128529159
51,2016-11-30,124.98,125.83,110.68,117.0,147512942
52,2016-10-31,98.0,129.29,97.63,124.87,274097791
53,2016-09-30,97.81,100.35,93.26,98.55,169724435
54,2016-08-31,91.23,98.85,90.5,97.45,182611315
