,timestamp,open,high,low,close,volume
0,2021-02-25,1844.585,2145.14,1844.585,2015.95,31631212
1,2021-01-29,1760.0,1932.08,1696.1014,1827.36,39569373
2,2020-12-31,1766.655,1843.83,1694.0,1752.64,30424255
3,2020-11-30,1623.54,1816.89,1612.108,1754.4,31560329
4,2020-10-30,1483.6608,1681.315,1433.23,1616.11,42753029
5,2020-09-30,1632.16,1726.1022,1402.15,1465.6,41834280
6,2020-08-31,1491.0,1652.79,1464.03,1629.53,30731651
7,2020-07-31,1419.17,1587.05,1414.18,1487.95,41090608
8,2020-06-30,1425.7,1475.79,1351.65,1418.05,40715938
9,2020-05-29,1324.09,1445.11,1296.01,1433.52,36255952
10,2020-04-30,1124.0,1360.15,1075.08,1346.7,56214524
11,2020-03-31,1351.39,1408.19,1008.87,1161.95,78534591
12,2020-02-28,1461.65,1530.74,1268.21,1339.25,41565155
13,2020-01-31,1348.41,1500.58,1346.49,1432.78,33629150
14,2019-12-31,1302.56,1367.07,1277.05,1339.39,28279817
15,2019-11-29,1265.8,1333.92,1259.71,1304.09,26359574
16,2019-10-31,1222.49,1299.24,1163.14,1258.8,30611918
17,2019-09-30,1181.85,1248.02,1163.71,1221.14,26274335
18,2019-08-30,1217.63,1236.3,1142.75,1190.53,29345892
19,2019-07-31,1101.04,1268.39,1095.33,1218.2,35763639
20,2019-06-28,1066.93,1126.57,1027.03,1082.8,35623822
21,2019-05-31,1197.5,1199.25,1103.35,1106.5,37137156
22,2019-04-30,1187.54,1296.97,1183.0,1198.96,32374805
23,2019-03-29,1131.0,1236.44,1130.2,1176.89,33186195
24,2019-02-28,1122.29,1154.0,1093.59,1126.55,32610016
25,2019-01-31,1027.2,1127.67,1022.37,1125.89,34860110
26,2018-12-31,1132.16,1135.0,977.6599,1044.96,42869863
27,2018-11-30,1091.4,1109.93,1002.21,1109.65,39313400
28,2018-10-31,1213.0,1224.52,1007.2,1090.58,56549878
29,2018-09-28,1222.52,1227.87,1151.5,1207.08,35927191
30,2018-08-31,1239.11,1271.96,1204.0,1231.8,34298428
31,2018-07-31,1115.35,1291.44,1106.6,1227.22,41806085
32,2018-06-29,1112.87,1201.49,1106.07,1129.19,40184605
33,2018-05-31,1016.3,1118.15,1007.89,1100.0,37036543
34,2018-04-30,1027.62,1097.51,994.25,1018.58,49252199
35,2018-03-29,1109.54,1178.16,984.0,1037.14,50738448
36,2018-02-28,1175.99,1187.45,997.0,1103.92,48581820
37,2018-01-31,1053.02,1198.0,1053.02,1182.22,31746835
38,2017-12-29,1030.41,1086.49,1002.32,1053.4,29093692
39,2017-11-30,1036.32,1080.0,1028.66,1036.17,27914714
40,2017-10-31,975.65,1063.62,961.95,1033.04,35135039
41,2017-09-29,957.47,975.81,924.5101,973.72,28940676
42,2017-08-31,947.81,957.195,918.6,955.24,31859046
43,2017-07-31,933.22,1006.19,915.31,945.5,40338583
44,2017-06-30,990.96,1008.61,929.6,929.68,43247076
45,2017-05-31,924.15,999.6,920.8,987.09,34853054
46,2017-04-28,848.75,935.9,834.6,924.52,24344962
47,2017-03-31,851.38,874.42,824.3,847.8,34553208
48,2017-02-28,824.0,853.79,812.051,844.93,26492197
49,2017-01-31,800.62,867.0,796.89,820.19,36840255
50,2016-12-30,778.55,824.3,753.36,792.45,34356689
51,2016-11-30,810.87,816.04,743.59,775.88,48353316
52,2016-10-31,802.55,839.0,796.23,809.9,35391730
53,2016-09-30,791.98,819.06,783.5,804.06,31576994
54,2016-08-31,786.67,813.879,785.04,789.85,28857075
55,2016-07-29,705.1,803.94,699.0,791.34,32667502
56,2016-06-30,748.47,751.37,672.66,703.53,41979195
57,2016-05-31,711.92,753.48,704.05,748.85,34108232
58,2016-04-29,757.16,790.95,703.2,707.88,46661769
59,2016-03-31,721.3,777.31,704.0,762.9,42564849
60,2016-02-29,771.26,810.35,682.01,717.22,67647477
61,2016-01-29,762.2,769.2,687.78,761.35,51999240
62,2015-12-31,766.94,798.69,736.26,778.01,43650531
63,2015-11-30,737.88,782.9,731.45,762.85,37574197
64,2015-10-30,637.94,752.5,631.115,737.39,50293840
65,2015-09-30,633.66,681.99,617.84,638.37,43458108
66,2015-08-31,657.66,704.0,593.09,647.82,55344735
67,2015-07-31,543.66,713.33,539.76,657.5,68543766
68,2015-06-30,548.73,565.61,538.8506,540.04,35218182
69,2015-05-29,550.51,558.24,532.235,545.32,32421761
70,2015-04-30,554.83,584.7,529.0,548.77,43746541
71,2015-03-31,567.0,583.2,550.33,554.7,43207344
72,2015-02-27,534.32,569.42,521.72,562.63,40420326
73,2015-01-30,532.6,545.41,490.91,537.55,52843510
74,2014-12-31,545.09,548.79,497.19,530.66,54469614
75,2014-11-28,563.53,567.15,539.19,549.08,29775322
76,2014-10-31,586.8,592.4,518.41,567.87,55503010
77,2014-09-30,582.95,605.4,577.01,588.41,35413703
78,2014-08-29,578.555,597.81,567.45,582.36,29046600
79,2014-07-31,587.65,608.91,572.1001,579.55,38583300
80,2014-06-30,569.75,589.6,547.47,584.67,39445800
81,2014-05-30,534.25,577.66,511.09,571.65,41456800
82,2014-04-30,1120.27,1144.8,511.0,534.88,68887600
83,2014-03-31,1206.75,1226.99,1102.1,1114.51,87224100
84,2014-02-28,1179.2,1228.88,1128.02,1215.65,81010500
85,2014-01-31,1115.46,1186.54,1082.27,1180.97,108913300
86,2013-12-31,1063.51,1121.0,1049.02,1120.71,67617600
87,2013-11-29,1031.79,1068.0,1005.0,1059.59,52459700
88,2013-10-31,880.25,1041.52,842.98,1030.58,110337300
89,2013-09-30,854.36,905.99,853.95,875.91,66180000
90,2013-08-30,895.0,909.709,845.56,846.9,66906000
91,2013-07-31,886.45,928.0,875.61,887.75,102387300
92,2013-06-28,873.0,910.84,847.22,880.37,97063000
93,2013-05-31,823.26,920.6,816.36,871.218,98734600
94,2013-04-30,795.01,827.64,761.2601,824.57,106996300
95,2013-03-28,797.8,844.0,793.3,794.188,85011800
96,2013-02-28,758.2,808.97,758.1,801.2,92587100
97,2013-01-31,719.42,760.95,695.52,755.69,104704600
98,2012-12-31,702.24,738.28,682.3301,707.38,83306700
99,2012-11-30,679.5,699.22,636.0,698.37,93264000
100,2012-10-31,759.05,774.38,669.7,680.2976,143452800
101,2012-09-28,684.55,764.89,673.5,754.5,120233800
102,2012-08-31,637.3,688.99,623.41,685.09,94031300
103,2012-07-31,581.82,642.6,562.09,632.97,102469600
104,2012-06-29,571.79,587.89,556.5201,580.07,92914500
105,2012-05-31,603.79,637.85,579.0,580.86,117228000
106,2012-04-30,640.77,653.14,590.2,604.85,117636800
107,2012-03-30,622.26,658.589,593.84,641.24,94564700
108,2012-02-29,584.94,625.6,579.14,618.25,94633500
109,2012-01-31,652.94,670.25,564.55,580.11,147136900
110,2011-12-30,600.0,646.76,599.0,645.9,109983800
111,2011-11-30,580.1,618.3,561.33,599.39,120479300
112,2011-10-31,509.85,602.7,480.596,592.64,154275400
113,2011-09-30,540.75,558.52,510.5,515.04,117140800
114,2011-08-31,611.22,615.5,490.86,540.96,213336700
115,2011-07-29,506.74,627.4992,506.38,603.69,161948200
116,2011-06-30,528.04,533.1999,473.02,506.38,118130800
117,2011-05-31,545.7,545.73,513.4,529.02,90564200
118,2011-04-29,588.76,595.19,519.0,544.1,140342000
119,2011-03-31,617.78,619.22,551.2801,586.76,120156600
120,2011-02-28,604.49,631.18,601.35,613.4,83653600
121,2011-01-31,596.48,642.96,595.55,600.36,119847800
122,2010-12-31,563.0,607.0,562.4,593.97,84484800
123,2010-11-30,615.73,630.85,553.31,555.71,116766000
124,2010-10-29,530.0,624.74,518.8501,613.7,158536000
125,2010-09-30,454.98,536.849,452.5,525.79,119281400
126,2010-08-31,488.99,508.6,447.65,450.02,105603500
127,2010-07-30,445.29,497.5,433.63,484.85,138480300
128,2010-06-30,480.43,509.25,444.72,444.95,119605600
129,2010-05-28,526.5,532.92,460.0,485.63,162958300
130,2010-04-30,571.35,597.84,521.03,525.695,145974700
131,2010-03-31,529.2,588.275,527.74,567.12,167380600
132,2010-02-26,534.602,547.5,520.0,526.8,103963600
133,2010-01-29,626.95,629.51,525.61,529.944,178021600
134,2009-12-31,588.13,625.99,579.18,619.98,85154200
135,2009-11-30,537.08,587.0599,528.241,583.0,81729700
