,timestamp,open,high,low,close
0,2021-02-23,38.7766,39.5655,37.9955,39.5507
1,2021-01-29,39.0491,39.0752,38.0331,38.8154
2,2020-12-31,38.1694,39.0438,36.8808,39.0438
3,2020-11-30,36.8913,38.2714,36.8258,38.1091
4,2020-10-30,36.7245,37.4887,36.5379,36.9648
5,2020-09-30,36.8851,37.2667,35.7113,36.7108
6,2020-08-31,36.3986,36.9102,35.7639,36.8857
7,2020-07-31,33.3072,36.609,33.3072,36.3695
8,2020-06-30,33.5137,34.2585,32.9102,33.2305
9,2020-05-29,34.057,34.057,32.2685,33.3136
10,2020-04-30,34.2905,34.5745,33.2834,34.0535
11,2020-03-31,31.7536,35.1735,31.4766,34.3745
12,2020-02-28,33.1025,33.1495,31.514,31.7379
13,2020-01-31,31.5653,33.1794,30.9482,33.1647
14,2019-12-31,31.1009,31.9546,30.1554,31.5653
15,2019-11-29,32.2025,32.355,30.8903,31.1483
16,2019-10-31,30.0382,32.6911,30.0145,32.2094
17,2019-09-30,30.6463,31.2203,29.6535,30.0376
18,2019-08-30,30.636,31.4418,30.3152,30.6601
19,2019-07-31,33.3525,33.3882,30.5956,30.6365
20,2019-06-28,34.0933,34.6525,33.113,33.3671
21,2019-05-31,34.5367,34.985,33.2394,34.0487
22,2019-04-30,35.6994,35.862,34.1345,34.5241
23,2019-03-29,36.0032,36.3358,34.21,35.7102
24,2019-02-28,36.3319,36.342,34.7719,35.9986
25,2019-01-31,35.4338,36.8185,34.6033,36.3278
26,2018-12-31,36.0696,36.2248,34.5657,35.4769
27,2018-11-30,36.0299,36.8529,35.5236,36.0488
28,2018-10-31,36.9728,37.1955,35.9058,36.0158
29,2018-09-28,36.635,37.4423,36.5033,36.9571
30,2018-08-31,35.3621,36.9779,34.752,36.7258
31,2018-07-31,34.8572,35.5029,34.3765,35.3807
32,2018-06-29,34.8624,35.4396,34.4645,34.874
33,2018-05-31,36.2572,36.2621,34.6984,34.8632
34,2018-04-30,36.9993,37.645,36.13,36.2554
35,2018-03-30,37.0237,37.6614,36.0154,36.948
36,2018-02-28,39.5863,39.9765,36.9966,37.0348
37,2018-01-31,38.1287,41.3491,37.7441,39.5857
38,2017-12-29,36.7091,38.2508,36.2914,38.1568
39,2017-11-30,35.8637,36.7869,34.7623,36.7124
40,2017-10-31,35.7881,35.8743,34.8675,35.8636
41,2017-09-29,33.3416,35.8583,33.2994,35.8063
42,2017-08-31,34.1856,34.5005,32.7656,33.3346
43,2017-07-31,34.0567,34.2487,33.409,34.2183
44,2017-06-30,34.005,34.1422,32.9132,34.1082
45,2017-05-31,34.4566,34.6243,33.7326,34.0097
46,2017-04-28,34.0583,34.6066,33.4547,34.5191
47,2017-03-31,33.7792,34.3401,32.5681,34.0633
48,2017-02-28,34.1975,34.5756,33.4636,33.7823
49,2017-01-31,33.4745,34.6173,32.1339,34.193
50,2016-12-30,32.0853,33.6362,31.575,33.417
51,2016-11-30,31.3499,32.8347,31.2895,32.0804
52,2016-10-31,33.6348,33.6878,31.0732,31.3543
53,2016-09-30,34.5891,36.2053,33.1285,33.7735
54,2016-08-31,32.9557,34.5976,32.3053,34.5954
55,2016-07-29,33.225,33.4953,32.104,33.0034
56,2016-06-30,36.4874,37.4171,32.8853,33.1041
57,2016-05-31,36.9075,37.1965,36.3306,36.484
58,2016-04-29,37.671,38.2991,36.1336,36.9305
59,2016-03-31,37.5,39.1,36.192,37.6795
60,2016-02-29,36.6654,38.9876,36.6297,37.5036
61,2016-01-29,35.5438,36.7134,33.4075,36.6492
62,2015-12-31,36.2522,36.3775,33.2595,35.5652
63,2015-11-30,36.0001,36.8124,34.0746,36.2582
64,2015-10-30,32.2338,36.0549,31.9873,35.9756
65,2015-09-30,33.987,34.8197,32.2212,32.2377
66,2015-08-31,33.3544,35.7581,32.4942,33.9491
67,2015-07-31,33.129,35.1225,32.75,33.3386
68,2015-06-30,32.4455,34.7276,32.1052,33.1359
69,2015-05-29,32.4111,34.6888,31.2969,32.4586
70,2015-04-30,34.3843,35.3263,31.0002,32.4342
71,2015-03-31,42.0606,42.0606,31.4751,34.3819
72,2015-02-27,24.3886,51.2809,24.2487,42.0865
73,2015-01-30,24.5693,24.5792,23.6114,24.3519
74,2014-12-31,23.4068,24.8779,23.341,24.5693
