,timestamp,open,high,low,close
0,2021-02-23,0.2699,0.2702,0.2626,0.266
1,2021-01-29,0.2766,0.2778,0.2692,0.27
2,2020-12-31,0.2734,0.2771,0.2682,0.2764
3,2020-11-30,0.2725,0.2765,0.2673,0.2736
4,2020-10-30,0.2693,0.2738,0.2669,0.2725
5,2020-09-30,0.2603,0.272,0.2599,0.2692
6,2020-08-31,0.2624,0.2645,0.257,0.2603
7,2020-07-31,0.2491,0.2665,0.2486,0.2622
8,2020-06-30,0.2506,0.252,0.2437,0.2481
9,2020-05-29,0.2523,0.2541,0.2465,0.2504
10,2020-04-30,0.2567,0.2596,0.2486,0.2524
11,2020-03-31,0.2284,0.2623,0.2283,0.2573
12,2020-02-28,0.2316,0.2323,0.2187,0.2288
13,2020-01-31,0.2188,0.2316,0.216,0.2316
14,2019-12-31,0.2193,0.2215,0.2128,0.2188
15,2019-11-29,0.2302,0.2308,0.2193,0.2198
16,2019-10-31,0.2259,0.2339,0.2255,0.2302
17,2019-09-30,0.2372,0.2391,0.2232,0.2259
18,2019-08-30,0.2314,0.2443,0.2305,0.2368
19,2019-07-31,0.2426,0.2436,0.2311,0.2315
20,2019-06-28,0.2487,0.253,0.2416,0.2435
21,2019-05-31,0.2374,0.2487,0.2369,0.2487
22,2019-04-30,0.2468,0.2469,0.2365,0.2375
23,2019-03-29,0.2434,0.2483,0.2365,0.2471
24,2019-02-28,0.2544,0.2545,0.2426,0.2434
25,2019-01-31,0.2534,0.2621,0.252,0.2544
26,2018-12-31,0.2485,0.2536,0.2446,0.2533
27,2018-11-30,0.2497,0.2516,0.2447,0.249
28,2018-10-31,0.2491,0.2537,0.247,0.2496
29,2018-09-28,0.2547,0.2566,0.2489,0.2492
30,2018-08-31,0.241,0.2559,0.2407,0.255
31,2018-07-31,0.2382,0.2425,0.2329,0.2408
32,2018-06-29,0.2407,0.2417,0.2365,0.2383
33,2018-05-31,0.2407,0.2429,0.2351,0.2407
34,2018-04-30,0.2477,0.249,0.2399,0.2407
35,2018-03-30,0.2521,0.2536,0.2423,0.2478
36,2018-02-28,0.2551,0.2559,0.2472,0.2521
37,2018-01-31,0.2506,0.2654,0.2477,0.2551
38,2017-12-29,0.2409,0.251,0.2392,0.2506
39,2017-11-30,0.2373,0.2433,0.2334,0.2408
40,2017-10-31,0.2369,0.2392,0.2334,0.2373
41,2017-09-29,0.2339,0.2433,0.2326,0.2371
42,2017-08-31,0.2345,0.2364,0.2313,0.234
43,2017-07-31,0.233,0.2355,0.2272,0.2347
44,2017-06-30,0.2382,0.2409,0.2319,0.2329
45,2017-05-31,0.2392,0.2399,0.2319,0.2382
46,2017-04-28,0.2436,0.2487,0.2384,0.2389
47,2017-03-31,0.2416,0.2472,0.232,0.2435
48,2017-02-28,0.241,0.244,0.2353,0.2416
49,2017-01-31,0.2315,0.2455,0.2246,0.2409
50,2016-12-30,0.2233,0.2354,0.2196,0.2316
51,2016-11-30,0.2441,0.2533,0.2237,0.2238
52,2016-10-31,0.2564,0.2568,0.2424,0.2441
53,2016-09-30,0.2545,0.2657,0.2395,0.2566
54,2016-08-31,0.2434,0.2552,0.2425,0.2545
55,2016-07-29,0.2415,0.2485,0.2316,0.2442
56,2016-06-30,0.2272,0.2492,0.227,0.2411
57,2016-05-31,0.2372,0.2374,0.2261,0.2271
58,2016-04-29,0.2328,0.2402,0.2261,0.2374
59,2016-03-31,0.2394,0.2422,0.2237,0.2328
60,2016-02-29,0.212,0.2466,0.2111,0.2393
61,2016-01-29,0.2004,0.2129,0.1966,0.212
62,2015-12-31,0.1952,0.2007,0.1842,0.2005
63,2015-11-30,0.1932,0.1964,0.1833,0.1953
64,2015-10-30,0.1775,0.1934,0.1754,0.1931
65,2015-09-30,0.1823,0.1886,0.1751,0.1775
66,2015-08-31,0.172,0.1918,0.1699,0.1822
67,2015-07-31,0.1723,0.1815,0.1694,0.172
68,2015-06-30,0.1707,0.1778,0.1677,0.1723
69,2015-05-29,0.1762,0.1847,0.1696,0.1707
70,2015-04-30,0.193,0.1977,0.1724,0.1767
71,2015-03-31,0.2275,0.2275,0.1757,0.193
72,2015-02-27,0.1378,0.2829,0.137,0.2275
73,2015-01-30,0.1315,0.1375,0.1304,0.1373
74,2014-12-31,0.1257,0.1357,0.1256,0.1315
